PERMNO,date,DIVAMT,PRC,VOL,RET,SHROUT
10401,1991-01-02,,29.75000,1128400,-0.012448,1089111
10401,1991-01-03,,29.87500,1117800,0.004202,1089111
10401,1991-01-04,,30.00000,1159900,0.004184,1089111
10401,1991-01-07,,29.75000,1441700,-0.008333,1089111
10401,1991-01-08,,29.87500,1647300,0.004202,1089111
10401,1991-01-09,,29.25000,1629500,-0.020921,1089111
10401,1991-01-10,,29.37500,1042700,0.004274,1089111
10401,1991-01-11,,29.75000,988300,0.012766,1089111
10401,1991-01-14,,29.25000,2006600,-0.016807,1089111
10401,1991-01-15,,29.25000,831900,0.000000,1089111
10401,1991-01-16,,29.62500,982800,0.012821,1089111
10401,1991-01-17,,31.37500,3729000,0.059072,1089111
10401,1991-01-18,,31.37500,3186400,0.000000,1089111
10401,1991-01-21,,31.12500,847000,-0.007968,1089111
10401,1991-01-22,,30.75000,1101000,-0.012048,1089111
10401,1991-01-23,,30.50000,1232600,-0.008130,1089111
10401,1991-01-24,,30.87500,1166800,0.012295,1089111
10401,1991-01-25,,31.25000,1575800,0.012146,1089111
10401,1991-01-28,,31.62500,1308300,0.012000,1089111
10401,1991-01-29,,31.62500,906700,0.000000,1089111
10401,1991-01-30,,32.00000,1860600,0.011858,1089111
10401,1991-01-31,,32.62500,1497700,0.019531,1089111
10401,1991-02-01,,31.50000,2081300,-0.034483,1089111
10401,1991-02-04,,32.25000,1644800,0.023810,1089111
10401,1991-02-05,,32.87500,2078800,0.019380,1089111
10401,1991-02-06,,33.37500,2484400,0.015209,1089111
10401,1991-02-07,,34.12500,2535200,0.022472,1089111
10401,1991-02-08,,34.00000,1641800,-0.003663,1089111
10401,1991-02-11,,34.25000,1666400,0.007353,1089111
10401,1991-02-12,,33.75000,2007100,-0.014599,1089111
10401,1991-02-13,,34.25000,1470000,0.014815,1089111
10401,1991-02-14,,33.87500,1165700,-0.010949,1089111
10401,1991-02-15,,34.37500,2400600,0.014760,1089111
10401,1991-02-19,,34.25000,1570400,-0.003636,1089111
10401,1991-02-20,,33.87500,754700,-0.010949,1089111
10401,1991-02-21,,33.25000,981100,-0.018450,1089111
10401,1991-02-22,,33.25000,1416800,0.000000,1089111
10401,1991-02-25,,33.75000,1575200,0.015038,1089111
10401,1991-02-26,,33.37500,887400,-0.011111,1089111
10401,1991-02-27,,33.50000,1156100,0.003745,1089111
10401,1991-02-28,,33.37500,1614200,-0.003731,1089111
10401,1991-03-01,,33.50000,963200,0.003745,1089111
10401,1991-03-04,,33.37500,1339200,-0.003731,1089111
10401,1991-03-05,,33.75000,1722800,0.011236,1089111
